captcha,javascript_render,locations,meta,name,parser,profile
False,False,"[{'fqdn': 'avaddongun7rngel.onion', 'title': None, 'version': 2, 'slug': 'http://avaddongun7rngel.onion', 'available': False, 'updated': '2021-09-08 00:04:04.125800', 'lastscrape': '2021-05-01 00:00:00.000000', 'enabled': False}]",,avaddon,True,"['https://www.acronis.com/en-us/articles/avaddon-ransomware', 'https://www.cyber.gov.au/sites/default/files/2021-05/2021-003%20Ongoing%20campaign%20using%20Avaddon%20Ransomware%20-%2020210508.pdf']"
False,True,"[{'fqdn': '4hzyuotli6maqa4u.onion', 'title': None, 'version': 2, 'slug': 'http://4hzyuotli6maqa4u.onion', 'available': False, 'updated': '2021-09-08 00:04:04.126984', 'lastscrape': '2021-05-01 00:00:00.000000', 'enabled': False}, {'fqdn': 'vsociethok6sbprvevl4dlwbqrzyhxcxaqpvcqt5belwvsuxaxsutyad.onion', 'title': 'Vice Society - Official Site', 'version': 3, 'slug': 'http://vsociethok6sbprvevl4dlwbqrzyhxcxaqpvcqt5belwvsuxaxsutyad.onion', 'available': False, 'updated': '2023-12-14 19:06:27.999890', 'lastscrape': '2023-12-14 19:06:27.999869', 'enabled': False}, {'fqdn': 'ecdmr42a34qovoph557zotkfvth4fsz56twvwgiylstjup4r5bpc4oad.onion', 'title': 'there is nothing...', 'version': 3, 'slug': 'http://ecdmr42a34qovoph557zotkfvth4fsz56twvwgiylstjup4r5bpc4oad.onion', 'available': False, 'updated': '2022-09-21 16:14:40.026879', 'lastscrape': '2022-09-21 16:14:40.026861', 'enabled': False}, {'fqdn': 'wmp2rvrkecyx72i3x7ejhyd3yr6fn5uqo7wfus7cz7qnwr6uzhcbrwad.onion', 'title': 'Vice Society - Official Site', 'version': 3, 'slug': 'http://wmp2rvrkecyx72i3x7ejhyd3yr6fn5uqo7wfus7cz7qnwr6uzhcbrwad.onion/partners.html', 'available': False, 'updated': '2023-12-14 16:07:17.798170', 'lastscrape': '2023-12-14 16:07:17.798159', 'enabled': False}, {'fqdn': 'ssq4zimieeanazkzc5ld4v5hdibi2nzwzdibfh5n5w4pw5mcik76lzyd.onion', 'title': 'Vice Society - Official Site', 'version': 3, 'slug': 'http://ssq4zimieeanazkzc5ld4v5hdibi2nzwzdibfh5n5w4pw5mcik76lzyd.onion/partners.html', 'available': False, 'updated': '2023-11-13 00:25:31.291288', 'lastscrape': '2023-11-13 00:25:31.291274', 'enabled': False}, {'fqdn': 'ml3mjpuhnmse4kjij7ggupenw34755y4uj7t742qf7jg5impt5ulhkid.onion', 'title': 'Vice Society - Official Site', 'version': 3, 'slug': 'http://ml3mjpuhnmse4kjij7ggupenw34755y4uj7t742qf7jg5impt5ulhkid.onion/partners.html', 'available': False, 'updated': '2023-12-10 03:08:10.993181', 'lastscrape': '2023-12-10 03:08:10.993170', 'enabled': False}]",ecdmr42axxx.onion - fileserver,vicesociety,True,"['v-society.official@onionmail.org', 'ViceSociety@onionmail.org', 'https://blog.talosintelligence.com/2021/08/vice-society-ransomware-printnightmare.html']"
False,False,"[{'fqdn': 'xingnewj6m4qytljhfwemngm7r7rogrindbq7wrfeepejgxc3bwci7qd.onion', 'title': '星Team News', 'version': 3, 'slug': 'http://xingnewj6m4qytljhfwemngm7r7rogrindbq7wrfeepejgxc3bwci7qd.onion/', 'available': False, 'updated': '2022-01-24 06:12:24.946416', 'lastscrape': '2022-01-24 06:12:24.946393', 'enabled': False}]",xing use a custom mountlocker exe,xinglocker,True,"['https://www.izoologic.com/2021/06/19/xing-locker-team-ransomgroup-is-on-a-roll-they-recently-hit-sharafi-group-investments', 'https://itsecuritywire.com/quick-bytes/xinglocker-spreading-worm-using-mountlocker']"
False,False,"[{'fqdn': 'darksidc3iux462n6yunevoag52ntvwp6wulaz3zirkmh4cnz6hhj7id.onion', 'title': None, 'version': 3, 'slug': 'http://darksidc3iux462n6yunevoag52ntvwp6wulaz3zirkmh4cnz6hhj7id.onion', 'available': False, 'updated': '2021-09-08 00:04:15.574928', 'lastscrape': '2021-05-01 00:00:00.000000', 'enabled': False}]",,darkside,False,"['https://blog.qualys.com/vulnerabilities-threat-research/2021/06/09/darkside-ransomware', 'https://www.varonis.com/blog/darkside-ransomware', 'https://github.com/advanced-threat-research/DarkSide-Config-Extract']"
False,False,"[{'fqdn': 'rgleak7op734elep.onion', 'title': None, 'version': 2, 'slug': 'http://rgleak7op734elep.onion', 'available': False, 'updated': '2021-09-08 00:04:15.576142', 'lastscrape': '2021-05-01 00:00:00.000000', 'enabled': False}, {'fqdn': 'rgleaktxuey67yrgspmhvtnrqtgogur35lwdrup4d3igtbm3pupc4lyd.onion', 'title': None, 'version': 3, 'slug': 'http://rgleaktxuey67yrgspmhvtnrqtgogur35lwdrup4d3igtbm3pupc4lyd.onion/', 'available': True, 'updated': '2025-06-17 04:08:30.668104', 'lastscrape': '2025-06-17 04:08:30.668094', 'enabled': True}, {'fqdn': 'p6o7m73ujalhgkiv.onion', 'title': None, 'version': 2, 'slug': 'http://p6o7m73ujalhgkiv.onion', 'available': False, 'updated': '2021-09-08 00:04:19.843356', 'lastscrape': '2021-05-01 00:00:00.000000', 'enabled': False}, {'fqdn': 'ragnarnwvli32xnmwudsvhbl7klzmofxeylyhcqfc5ifx5mbybq3ekqd.onion', 'title': None, 'version': 3, 'slug': 'http://ragnarnwvli32xnmwudsvhbl7klzmofxeylyhcqfc5ifx5mbybq3ekqd.onion', 'available': True, 'updated': '2025-06-17 04:08:33.518385', 'lastscrape': '2025-06-17 04:08:33.518372', 'enabled': True}]",,ragnarlocker,True,"['https://news.sophos.com/en-us/2020/05/21/ragnar-locker-ransomware-deploys-virtual-machine-to-dodge-security', 'https://www.bleepingcomputer.com/news/security/ransomware-gang-threatens-to-leak-data-if-victim-contacts-fbi-police']"
True,False,"[{'fqdn': 'ekbgzchl6x2ias37.onion', 'title': None, 'version': 2, 'slug': 'http://ekbgzchl6x2ias37.onion', 'available': False, 'updated': '2021-09-08 00:04:19.844737', 'lastscrape': '2021-05-01 00:00:00.000000', 'enabled': False}, {'fqdn': 'santat7kpllt6iyvqbr7q4amdv6dzrh6paatvyrzl7ry3zm72zigf4ad.onion', 'title': 'Access Queue', 'version': 3, 'slug': 'http://santat7kpllt6iyvqbr7q4amdv6dzrh6paatvyrzl7ry3zm72zigf4ad.onion/', 'available': True, 'updated': '2025-06-17 04:08:40.318546', 'lastscrape': '2025-06-17 04:08:40.318533', 'enabled': True}, {'fqdn': 'toznnag5o3ambca56s2yacteu7q7x2avrfherzmz4nmujrjuib4iusad.onion', 'title': 'TORRENT | CL0P^_- LEAKS', 'version': 3, 'slug': 'http://toznnag5o3ambca56s2yacteu7q7x2avrfherzmz4nmujrjuib4iusad.onion', 'available': False, 'updated': '2024-07-15 20:07:22.827536', 'lastscrape': '2024-07-15 20:07:22.827523', 'enabled': True}]",,clop,True,"['https://blog.malwarebytes.com/malwarebytes-news/2021/02/clop-targets-execs-ransomware-tactics-get-another-new-twist', 'https://unit42.paloaltonetworks.com/clop-ransomware']"
False,False,"[{'fqdn': 'rnfdsgm6wb6j6su5txkekw4u4y47kp2eatvu7d6xhyn5cs4lt4pdrqqd.onion', 'title': None, 'version': 3, 'slug': 'http://rnfdsgm6wb6j6su5txkekw4u4y47kp2eatvu7d6xhyn5cs4lt4pdrqqd.onion', 'available': False, 'updated': '2021-09-08 00:04:40.746600', 'lastscrape': '2021-05-01 00:00:00.000000', 'enabled': False}]",,netwalker,False,"['https://threatpost.com/netwalker-ransomware-suspect-charged/163405', 'https://www.cybereason.com/blog/cybereason-vs.-netwalker-ransomware', 'https://www.ncsc.org/trends/monthly-trends-articles/2020/netwalker-ransomware']"
True,True,"[{'fqdn': 'hpoo4dosa3x4ognfxpqcrjwnsigvslm7kv6hvmhh2yqczaxy3j6qnwad.onion', 'title': 'Start-maximized.com', 'version': 3, 'slug': 'http://hpoo4dosa3x4ognfxpqcrjwnsigvslm7kv6hvmhh2yqczaxy3j6qnwad.onion/', 'available': False, 'updated': '2021-09-23 10:08:25.218006', 'lastscrape': '2021-09-23 10:08:25.217991', 'enabled': False}]",,doppelpaymer,False,"['https://aithority.com/security/doppelpaymer-ransomware-attack-sinks-a-global-motor-companys-20-million', 'https://www.zscaler.com/blogs/security-research/doppelpaymer-continues-cause-grief-through-rebranding']"
False,True,"[{'fqdn': 'dnpscnbaix6nkwvystl3yxglz7nteicqrou3t75tpcc5532cztc46qyd.onion', 'title': '404 Not Found', 'version': 3, 'slug': 'http://dnpscnbaix6nkwvystl3yxglz7nteicqrou3t75tpcc5532cztc46qyd.onion/', 'available': False, 'updated': '2022-08-19 12:16:46.599622', 'lastscrape': '2022-08-19 12:16:46.599604', 'enabled': False}, {'fqdn': 'aplebzu47wgazapdqks6vrcv6zcnjppkbxbr6wketf56nf6aq2nmyoyd.onion', 'title': '404 Not Found', 'version': 3, 'slug': 'http://aplebzu47wgazapdqks6vrcv6zcnjppkbxbr6wketf56nf6aq2nmyoyd.onion/', 'available': False, 'updated': '2022-08-19 12:17:40.270818', 'lastscrape': '2022-08-19 12:17:40.270801', 'enabled': False}, {'fqdn': 'blogxxu75w63ujqarv476otld7cyjkq4yoswzt4ijadkjwvg3vrvd5yd.onion', 'title': 'Blog', 'version': 3, 'slug': 'http://blogxxu75w63ujqarv476otld7cyjkq4yoswzt4ijadkjwvg3vrvd5yd.onion/', 'available': False, 'updated': '2023-01-06 16:18:09.124691', 'lastscrape': '2023-01-06 16:18:09.124676', 'enabled': False}]",,revil,True,"['https://www.zdnet.com/article/revil-ransomware-group-resurfaces-after-brief-hiatus', 'https://www.macrumors.com/2021/04/26/revil-delists-stolen-apple-schematics-threat', 'https://www.theverge.com/2021/7/22/22589643/ransomware-kaseya-vsa-decryptor-revil']"
False,False,"[{'fqdn': 'ransomocmou6mnbquqz44ewosbkjk3o5qjsl3orawojexfook2j7esad.onion', 'title': None, 'version': 3, 'slug': 'http://ransomocmou6mnbquqz44ewosbkjk3o5qjsl3orawojexfook2j7esad.onion/', 'available': True, 'updated': '2025-06-17 04:08:48.524506', 'lastscrape': '2025-06-17 04:08:48.524491', 'enabled': True}, {'fqdn': 'ransomoefralti2zh5nrv7iqybp3d5b4a2eeecz5yjosp7ggbepj7iyd.onion', 'title': 'Everest Group', 'version': 3, 'slug': 'http://ransomoefralti2zh5nrv7iqybp3d5b4a2eeecz5yjosp7ggbepj7iyd.onion', 'available': False, 'updated': '2025-01-20 08:04:55.879844', 'lastscrape': '2025-01-20 08:04:55.879830', 'enabled': True}]",,everest,True,['https://www.reuters.com/article/us-usa-products-colonial-pipeline-ransom/more-ransomware-websites-disappear-in-aftermath-of-colonial-pipeline-hack-idUSKCN2CX0KT']
False,False,"[{'fqdn': 'wobpitin77vdsdiswr43duntv6eqw4rvphedutpaxycjdie6gg3binad.onion', 'title': None, 'version': 3, 'slug': 'http://wobpitin77vdsdiswr43duntv6eqw4rvphedutpaxycjdie6gg3binad.onion', 'available': False, 'updated': '2021-09-08 00:06:02.821448', 'lastscrape': '2021-05-01 00:00:00.000000', 'enabled': False}, {'fqdn': 'sushlnty2j7qdzy64qnvyb6ajkwg7resd3p6agc2widnawodtcedgjid.onion', 'title': 'Decrypt Site', 'version': 3, 'slug': 'http://sushlnty2j7qdzy64qnvyb6ajkwg7resd3p6agc2widnawodtcedgjid.onion/', 'available': False, 'updated': '2021-09-08 00:06:09.477754', 'lastscrape': '2021-08-27 00:03:27.017295', 'enabled': False}]",shut down & offering a decryptor,ragnarok,False,"['https://techcrunch.com/2021/08/30/ragnarok-ransomware-gang-shuts-down-and-releases-its-decryption-key', 'https://www.cpomagazine.com/cyber-security/ragnarok-ransomware-gang-closes-up-shop-leaves-master-decryptor-key-behind', 'https://www.sababasecurity.com/cheese-shortage-in-dutch-supermarkets-after-a-ransomware-attack', 'previous parser: Z3JlcCAndmFyIHBvc3RfbGlua3MgPScgc291cmNlL3JhZ25hcm9rLSouaHRtbCAtLW5vLWZpbGVuYW1lIHwgY3V0IC1kICc9JyAtZiAyIHwgc2VkICdzL14gKi8vZycgfCBzZWQgLWUgJ3MvLiQvLycgLWUgJ3MvLiQvLycgIC1lICdzLy4kLy8nIHwgIGpxIC1yICcuW10udGl0bGUn']"
False,False,"[{'fqdn': 'continewsnv5otx5kaoje7krkto2qbu3gtqef22mnr7eaxw3y6ncz3ad.onion', 'title': 'CONTI.News', 'version': 3, 'slug': 'http://continewsnv5otx5kaoje7krkto2qbu3gtqef22mnr7eaxw3y6ncz3ad.onion/', 'available': False, 'updated': '2022-06-22 06:25:03.781337', 'lastscrape': '2022-06-22 06:25:03.781324', 'enabled': False}, {'fqdn': 'continews.click', 'title': None, 'version': 0, 'slug': 'http://continews.click', 'available': False, 'updated': '2022-12-11 04:22:46.908559', 'lastscrape': '2022-12-11 04:22:46.908546', 'enabled': False}, {'fqdn': 'continews.bz', 'title': 'Error Response Page', 'version': 0, 'slug': 'http://continews.bz', 'available': False, 'updated': '2022-11-24 20:21:12.065124', 'lastscrape': '2022-11-24 20:21:12.065104', 'enabled': False}]",livechat host contirecj4hbzmyzuydyzrvm2c65blmvhoj2cvf25zqj2dwrrqcq5oad.onion,conti,True,"['https://threatpost.com/affiliate-leaks-conti-ransomware-playbook/168442', 'https://unit42.paloaltonetworks.com/conti-ransomware-gang']"
False,False,"[{'fqdn': 'pysa2bitc5ldeyfak4seeruqymqs4sj5wt5qkcq7aoyg4h2acqieywad.onion', 'title': ""Pysa's Partners"", 'version': 3, 'slug': 'http://pysa2bitc5ldeyfak4seeruqymqs4sj5wt5qkcq7aoyg4h2acqieywad.onion/partners.html', 'available': False, 'updated': '2022-02-22 10:11:40.537498', 'lastscrape': '2022-02-22 10:11:40.537484', 'enabled': False}]",,pysa,True,"['https://www.ic3.gov/Media/News/2021/210316.pdf', 'https://blog.malwarebytes.com/threat-spotlight/2021/03/pysa-the-ransomware-attacking-schools']"
False,True,"[{'fqdn': 'hxt254aygrsziejn.onion', 'title': None, 'version': 2, 'slug': 'http://hxt254aygrsziejn.onion', 'available': False, 'updated': '2021-09-08 00:06:25.221769', 'lastscrape': '2021-05-01 00:00:00.000000', 'enabled': False}]",,nefilim,True,"['https://www.zdnet.com/article/a-deep-dive-into-nefilim-a-double-extortion-ransomware-group', 'https://www.trendmicro.com/en_nz/research/21/f/nefilim-modern-ransomware-attack-story.html']"
False,False,"[{'fqdn': 'xfr3txoorcyy7tikjgj5dk3rvo3vsrpyaxnclyohkbfp3h277ap4tiad.onion', 'title': None, 'version': 3, 'slug': 'http://xfr3txoorcyy7tikjgj5dk3rvo3vsrpyaxnclyohkbfp3h277ap4tiad.onion', 'available': False, 'updated': '2021-09-08 00:06:32.504536', 'lastscrape': '2021-05-01 00:00:00.000000', 'enabled': False}]",,maze,False,"['https://techcrunch.com/2020/11/02/maze-ransomware-group-shutting-down', 'https://www.fireeye.com/blog/threat-research/2020/05/tactics-techniques-procedures-associated-with-maze-ransomware-incidents.html']"
False,False,"[{'fqdn': 'mountnewsokhwilx.onion', 'title': None, 'version': 2, 'slug': 'http://mountnewsokhwilx.onion', 'available': False, 'updated': '2021-09-08 00:06:32.505748', 'lastscrape': '2021-05-01 00:00:00.000000', 'enabled': False}]",,mount-locker,True,"['https://www.bleepingcomputer.com/news/security/mount-locker-ransomware-joins-the-multi-million-dollar-ransom-game', 'https://www.securitymagazine.com/articles/94954-sophos-identifies-connection-between-mount-locker-and-astro-locker-team-ransomware']"
