Risk,Title,URL,Tags,Access,Author,Local,Remote,CVE,CWE
Low,Pitamaas - Sql Injection,https://cxsecurity.com/issue/WLB-2025060029,behrouz mansoori,Remote,,No,Yes,N/A,N/A
High,Microsoft Edge (Chromium-based) Update Elevation of Privilege Vulnerability PoC (Conceptual Model),https://cxsecurity.com/issue/WLB-2025060028,nu11secur1ty,Remote,,No,Yes,N/A,N/A
Medium,Litespeed Cache WordPress Plugin 6.3.0.1 Privilege Escalation,https://cxsecurity.com/issue/WLB-2025060027,"CVE, CWE, Milad Karimi",Remote,Milad Karimi,No,Yes,CVE-2024-28000,CWE-264
Low,Parrot and DJI variants Drone OSes Kernel Panic Exploit,https://cxsecurity.com/issue/WLB-2025060026,"CVE, CWE, Mohammed Idrees Banyam...",Local,Mohammed Idrees Banyamer,Yes,No,CVE-2025-37928,CWE-284
Medium,macOS LaunchDaemon iOS 17.2 Privilege Escalation,https://cxsecurity.com/issue/WLB-2025060025,"CVE, CWE, Mohammed Idrees Banyam...",Local,Mohammed Idrees Banyamer,Yes,No,CVE-2025-24085,CWE-264
Medium,Microsoft Excel LTSC Professional Pilus 2021 - Microsoft® Word LTSC MSO (16.0.14334.20090) 64-bit - Remote Code Execution Bypass - ZIP (RCE),https://cxsecurity.com/issue/WLB-2025060024,nu11secur1ty,Remote,,No,Yes,N/A,N/A
High,Windows File Explorer Windows 11 (23H2) NTLM Hash Disclosure,https://cxsecurity.com/issue/WLB-2025060023,"CVE, Mohammed Idrees Banyam...",Local,Mohammed Idrees Banyamer,Yes,No,CVE-2025-24071,N/A
Medium,MOBOTIX IP cameras Unauthenticated access,https://cxsecurity.com/issue/WLB-2025060022,"CWE, hasanwlip",Remote,hasanwlip,No,Yes,N/A,CWE-306
Medium,RansomLord (NG v1.0) anti-ransomware exploit tool,https://cxsecurity.com/issue/WLB-2025060021,malvuln,Local,malvuln,Yes,No,N/A,N/A
High,Ingress-NGINX 4.11.0 Remote Code Execution (RCE),https://cxsecurity.com/issue/WLB-2025060020,"CVE, Likhith Appalaneni",Remote,Likhith Appalaneni,No,Yes,CVE-2025-1974,N/A
Medium,Fortra GoAnywhere MFT 7.4.1 Authentication Bypass,https://cxsecurity.com/issue/WLB-2025060019,"CVE, @ibrahimsql",Local,@ibrahimsql,Yes,No,CVE-2024-0204,N/A
High,Microsoft Excel Remote Code Execution Vulnerability,https://cxsecurity.com/issue/WLB-2025060018,nu11secur1ty,Local,,Yes,No,N/A,N/A
High,Freefloat FTP Server 1.0 Remote Buffer Overflow,https://cxsecurity.com/issue/WLB-2025060017,"CVE, CWE, Fernando",Remote,Fernando,No,Yes,CVE-2025-5548,CWE-119
Low,Kentico Xperience 13.0.178 Cross Site Scripting,https://cxsecurity.com/issue/WLB-2025060016,"CVE, CWE, Alex Messham",Remote,Alex Messham,No,Yes,CVE-2025-32370 | CVE-2025-2748,CWE-79
High,AirKeyboard iOS App 1.0.5 Remote Input Injection,https://cxsecurity.com/issue/WLB-2025060015,Chokri Hammedi,Remote,Chokri Hammedi,No,Yes,N/A,N/A
High,Skyvern 0.1.85 Remote Code Execution (RCE) via SSTI,https://cxsecurity.com/issue/WLB-2025060014,"CVE, Cristian Branet",Remote,Cristian Branet,No,Yes,CVE-2025-49619,N/A
High,Microsoft Windows 11 Version 24H2 Cross Device Service Elevation of Privilege,https://cxsecurity.com/issue/WLB-2025060013,"CVE, CWE, Mohammed Idrees Banyam...",Local,Mohammed Idrees Banyamer,Yes,No,CVE-2025-24076,CWE-284
High,Apache Tomcat/10.1.39 DoS-BOF,https://cxsecurity.com/issue/WLB-2025060012,"CVE, nu11secur1ty",Remote,,No,Yes,CVE-2025-31650,N/A
Medium,TightVNC 2.8.83 Control Pipe Manipulation,https://cxsecurity.com/issue/WLB-2025060011,"CVE, Ionut Zevedei",Remote,Ionut Zevedei,No,Yes,CVE-2024-42049,N/A
Medium,WordPress Digits Plugin 8.4.6.1 Authentication Bypass via OTP Bruteforcing,https://cxsecurity.com/issue/WLB-2025060010,"CVE, CWE, Saleh Tarawneh",Remote,Saleh Tarawneh,No,Yes,CVE-2025-4094,CWE-287
High,Microsoft Excel Local Code Execution Vulnerability,https://cxsecurity.com/issue/WLB-2025060009,"CVE, nu11secur1ty",Remote,,No,Yes,CVE-2025-27751,N/A
Medium,Apache Tomcat 10.1.39 Denial of Service (DoS),https://cxsecurity.com/issue/WLB-2025060008,"CVE, Abdualhadi khalifa",Remote,Abdualhadi khalifa,No,Yes,CVE-2025-31650,N/A
Medium,Microsoft Windows 11 23h2 CLFS.sys Elevation of Privilege,https://cxsecurity.com/issue/WLB-2025060007,"CVE, Milad Karimi",Local,Milad Karimi,Yes,No,CVE-2024-49138,N/A
Low,HRM-1.0 2025 Cross-site scripting (reflected),https://cxsecurity.com/issue/WLB-2025060006,nu11secur1ty,Remote,,No,Yes,N/A,N/A
Medium,HRM-1.0-2025 Multiple-SQLi,https://cxsecurity.com/issue/WLB-2025060005,nu11secur1ty,Remote,,No,Yes,N/A,N/A
Medium,CloudClassroom PHP Project 1.0 SQL Injection,https://cxsecurity.com/issue/WLB-2025060004,"CVE, Sanjay Singh",Remote,Sanjay Singh,No,Yes,CVE-2025-45542,N/A
Low,ERPNext 15.53.1 Cross Site Scripting,https://cxsecurity.com/issue/WLB-2025060003,Ron E,Remote,Ron E,No,Yes,N/A,N/A
Medium,Windows Explorer - NTLM Hash Disclosure via .library-ms in ZIP Archive,https://cxsecurity.com/issue/WLB-2025060002,"CVE, Mohammed Idrees Banyam...",Local,Mohammed Idrees Banyamer,Yes,No,CVE-2025-24071,N/A
Medium,ABB Cylon Aspect 3.08.03 Guest2Root Privilege Escalation,https://cxsecurity.com/issue/WLB-2025060001,"CWE, Gjoko 'LiquidWorm...",Remote,Gjoko 'LiquidWorm' Krstic,No,Yes,N/A,CWE-264
Medium,Campcodes Online Hospital Management System 1.0 SQL Injection,https://cxsecurity.com/issue/WLB-2025050055,"CVE, CWE, Carine Constantino",Remote,Carine Constantino,No,Yes,CVE-2025-5298,CWE-89
High,ZTE ZXV10 H201L RCE via authentication bypass,https://cxsecurity.com/issue/WLB-2025050054,l34n,Remote,l34n,No,Yes,N/A,N/A
High,Invision Community 5.0.6 Remote Code Execution (RCE),https://cxsecurity.com/issue/WLB-2025050053,Egidio,Remote,Egidio,No,Yes,N/A,N/A
Low,UJCMS 9.6.3 User Enumeration via IDOR,https://cxsecurity.com/issue/WLB-2025050052,"CVE, Cyd Tseng",Remote,Cyd Tseng,No,Yes,CVE-2024-12483,N/A
Medium,compop.ca 3.5.3 Arbitrary code Execution,https://cxsecurity.com/issue/WLB-2025050051,"CVE, dmlino",Remote,dmlino,No,Yes,CVE-2024-48445,N/A
Medium,ABB Cylon Aspect Studio 3.08.03 Binary Planting,https://cxsecurity.com/issue/WLB-2025050050,"CVE, Gjoko 'LiquidWorm...",Local,Gjoko 'LiquidWorm' Krstic,Yes,No,CVE-2024-13946,N/A
Medium,EMBRYO CMS by Pyxis Studio - Authenticated SQL Injection on www.embryohotel.com,https://cxsecurity.com/issue/WLB-2025050049,"CWE, 0x6ick",Remote,,No,Yes,N/A,CWE-89: Improper Neutralization of Special Elements used in an SQL Command (&#039;SQL Injection&#039;)
Medium,KRUKSTON-BISTRO-1.0 Multiple-SQLi,https://cxsecurity.com/issue/WLB-2025050048,nu11secur1ty,Remote,,Yes,Yes,N/A,N/A
Low,TechKnock Digital Services - Xpath Injection Vulnerability,https://cxsecurity.com/issue/WLB-2025050047,behrouz mansoori,Remote,,No,Yes,N/A,N/A
Low,Casdoor 1.901.0 Cross-Site Request Forgery (CSRF),https://cxsecurity.com/issue/WLB-2025050046,"CWE, Van Lam Nguyen",Remote,Van Lam Nguyen,No,Yes,N/A,CWE-352
Low,SIAKAD STEKOM - Stored XSS Vulnerability(Login Page),https://cxsecurity.com/issue/WLB-2025050045,"CWE, 0x6ick",Remote,,No,Yes,N/A,CWE-79
Medium,Techknock Digital Services - Sql Injection,https://cxsecurity.com/issue/WLB-2025050044,behrouz mansoori,Remote,,No,Yes,N/A,N/A
Medium,Microsoft SQL Server Privilege Escalation from Control Server To Sysadmin role,https://cxsecurity.com/issue/WLB-2025050043,Emad Al-Mousa,Remote,Emad Al-Mousa,No,Yes,N/A,N/A
Medium,Remote Keyboard Desktop 1.0.1 Remote Code Execution (RCE),https://cxsecurity.com/issue/WLB-2025050042,Chokri Hammedi,Remote,Chokri Hammedi,No,Yes,N/A,N/A
Low,Drupal 11.x-dev Full Path Disclosure,https://cxsecurity.com/issue/WLB-2025050041,"CVE, Milad Karimi (Ex3ption...",Remote,Milad Karimi (Ex3ptionaL),No,Yes,CVE-2024-45440,N/A
Medium,Magnolia DX Core 6.3.8 - Command Injection,https://cxsecurity.com/issue/WLB-2025050040,tmrswrr,Remote,tmrswrr,No,Yes,N/A,N/A
Low,Tiiwee X1 Alarm System Replay Attack,https://cxsecurity.com/issue/WLB-2025050039,"CWE, Sebastian",Remote,Sebastian,No,Yes,N/A,CWE-294
High,Kingdia CD Extractor 3.7.12 - Buffer Overflow SEH,https://cxsecurity.com/issue/WLB-2025050038,Achilles,Local,,Yes,No,N/A,N/A
Medium,CrushFTP 11.3.1 Authentication Bypass,https://cxsecurity.com/issue/WLB-2025050037,"CVE, ibrahimsql",Local,ibrahimsql,Yes,No,CVE-2025-31161,N/A
Low,Oracle database password hash exposure in sharding component,https://cxsecurity.com/issue/WLB-2025050036,"CVE, Emad Al-Mousa",Local,,Yes,No,CVE-2023-22074,N/A
High,DiskBoss Enterprise 7.4.28 Remote Buffer Overflow,https://cxsecurity.com/issue/WLB-2025050035,"CWE, Fernando Mengali",Remote,,No,Yes,N/A,CWE-121
High,WordPress SureTriggers 1.0.78 Authentication Bypass / Remote Code Execution,https://cxsecurity.com/issue/WLB-2025050034,"CVE, Valentin",Remote,Valentin,No,Yes,CVE-2025-3102,N/A
Medium,Design By : RVTECH - Blind Sql Injection Vulnerability,https://cxsecurity.com/issue/WLB-2025050033,behrouz mansoori,Remote,,No,Yes,N/A,N/A
Medium,fengoffice_3.5.1.5 - SQLi,https://cxsecurity.com/issue/WLB-2025050032,nu11secur1ty,Remote,,No,Yes,N/A,N/A
High,TP-Link VN020 F3v(T) TT_V6.2.1021) DHCP Stack Buffer Overflow,https://cxsecurity.com/issue/WLB-2025050031,"CVE, CWE, Mohamed Maatallah",Remote,Mohamed Maatallah,No,Yes,CVE-2024-11237,CWE-119
High,Dell EMC iDRAC7/iDRAC8 2.52.52.52 Remote Code Execution,https://cxsecurity.com/issue/WLB-2025050030,"CVE, Photubias",Remote,Photubias,No,Yes,CVE-2018-1207,CWE-74
Medium,ezportal Advisory ( Portal Mod for SMF ) Local SQL injection,https://cxsecurity.com/issue/WLB-2025050029,Emiliano Febbi,Remote,Emiliano Febbi,No,Yes,N/A,N/A
Medium,VirtualBox 7.0.16 Privilege Escalation,https://cxsecurity.com/issue/WLB-2025050028,Milad Karimi,Local,Milad Karimi,Yes,No,N/A,N/A
Medium,"Microsoft Windows "".library-ms"" Filetype / Information Disclosure",https://cxsecurity.com/issue/WLB-2018070160,"CVE, hyp3rlinx",Remote,hyp3rlinx,No,Yes,CVE-2025-24054,N/A
High,Ruckus IoT Controller 1.7.1.0 Undocumented Backdoor Account,https://cxsecurity.com/issue/WLB-2025050027,"CVE, CWE, korelogic",Remote,korelogic,No,Yes,CVE-2019-1000018 | CVE-2021-33216,CWE-912
High,Firefox ESR 115.11 PDF.js Arbitrary JavaScript execution,https://cxsecurity.com/issue/WLB-2025050026,"CVE, Milad Karimi",Remote,Milad Karimi,No,Yes,CVE-2024-4367,N/A
Medium,Explore IT CMS - Blind SQL Injection Vulnerability,https://cxsecurity.com/issue/WLB-2025050025,Mr_Amir_Typer,Remote,Mr_Amir_Typer,No,Yes,N/A,N/A
Medium,Synotec Holdings - Blind Sql Injection Vulnerability,https://cxsecurity.com/issue/WLB-2025050024,behrouz mansoori,Remote,,No,Yes,N/A,N/A
Medium,Apache ActiveMQ 6.1.6 Denial of Service,https://cxsecurity.com/issue/WLB-2025050023,"CVE, Abdualhadi khalifa",Remote,Abdualhadi khalifa,No,Yes,CVE-2025-27533,N/A
Low,Easy!Appointments 1.5.1 Denial of Service,https://cxsecurity.com/issue/WLB-2025050022,"CVE, Abdullah Almutairi",Remote,Abdullah Almutairi,No,Yes,CVE-2025-29448,N/A
Medium,Aem Solutions - Sql Injection,https://cxsecurity.com/issue/WLB-2025050021,behrouz mansoori,Remote,,No,Yes,N/A,N/A
Medium,Marwal Infotech - Sql Injection,https://cxsecurity.com/issue/WLB-2025050020,behrouz mansoori,Remote,,No,Yes,N/A,N/A
Medium,Aem Solutions - Blind Sql Injection Vulnerability,https://cxsecurity.com/issue/WLB-2025050019,behrouz mansoori,Remote,,No,Yes,N/A,N/A
Medium,Marwal Infotech - Blind Sql Injection Vulnerability,https://cxsecurity.com/issue/WLB-2025050018,behrouz mansoori,Remote,,No,Yes,N/A,N/A
Medium,WebMethods Integration Server 10.15.0.0000-0092 Improper Access on Login Page,https://cxsecurity.com/issue/WLB-2025050017,Rasime Ekici,Remote,Rasime Ekici,No,Yes,N/A,N/A
Low,ERPNext 14.82.1 Account Takeover via Cross-Site Request Forgery (CSRF),https://cxsecurity.com/issue/WLB-2025050016,"CVE, CWE, Ahmed Thaiban",Remote,Ahmed Thaiban,No,Yes,CVE-2025-28062,CWE-352
Medium,tar-fs 3.0.0 Arbitrary File Write/Overwrite,https://cxsecurity.com/issue/WLB-2025050015,"CVE, Ardayfio Samuel Nii Ar...",Local,Ardayfio Samuel Nii Aryee,Yes,No,CVE-2024-12905,N/A
High,Hugging Face Transformers MobileViTV2 4.41.1 Remote Code Execution (RCE),https://cxsecurity.com/issue/WLB-2025050014,"CVE, The Kernel Panic",Remote,The Kernel Panic,No,Yes,CVE-2024-11392,N/A
Low,KodExplorer 4.52 Open Redirect,https://cxsecurity.com/issue/WLB-2025050013,"CWE, Rahad Chowdhury",Remote,Rahad Chowdhury,No,Yes,N/A,CWE-601
