Title,Description,Date Added,CVE Link,Exploit Platform,Exploit Type,Product Name
Microsoft Kernel Streaming WOW Thunk Service Driver Elevation of Privilege Vulnerability Exploit (CVE-2024-30090),An elevation of privilege vulnerability exists due to the MS KS WOW Thunk kernel module allowing untrusted pointer dereference. The vulnerability could allow an attacker to run code with elevated privileges.,"November 29, 2024",CVE-2024-30090,Windows,Exploits / Local,Impact
Microsoft Windows Event Logging Service DoS Update,This update adds reliability improvements to check if the target is vulnerable.,"November 27, 2024",NOCVE-9999-200000,Windows,Denial of Service / Remote,Impact
Progress OpenEdge authorizeUser Authentication Bypass Vulnerability Checker,An authentication bypass vulnerability in Progress OpenEdge allows unauthenticated remote attackers to authenticate in the target application as NT AUTHORITY/SYSTEM.,"November 27, 2024",CVE-2024-1403,Windows,Information gathering / Vulnerability checkers,Impact
Palo Alto Networks OS (PAN-OS) Remote Code Execution Exploit,An authentication bypass in Palo Alto Networks PAN-OS software(CVE-2024-0012) enables an unauthenticated attacker with network access to the management web interface to gain PAN-OS administrator privileges to perform administrative actions. A privilege escalation vulnerability in Palo Alto Networks PAN-OS software(CVE-2024-9474) allows a PAN-OS administrator with access to the management web interface to perform actions on the firewall with root privileges. This module exploits these two vulnerabilities CVE-2024-0012 and CVE-2024-9474 in order to deploy an agent.,"November 22, 2024","CVE-2024-0012,CVE-2024-9474",,Exploits / OS Command Injection / Known Vulnerabilities,Impact
Palo Alto Networks Expedition Remote Code Execution Exploit,"This module exploits CVE-2024-5910 to reset the password of the admin. For doing this, it will craft a special request to the endpoint /OS/startup/restore/restoreAdmin.php. After getting the admin password, it will authenticate with the admin credentials and it will exploit CVE-2024-9464 in order to deploy an agent. The exploitation of CVE-2024-9464 consists in crafting a special request to the endpoint /bin/CronJobs.php. As an authenticated user we can abuse this endpoint for inserting commands in the table cronjobs from pandb.","November 11, 2024","CVE-2024-9464,CVE-2024-5910",Linux,Exploits / OS Command Injection / Known Vulnerabilities,Impact
Windows Ks Driver KSPROPERTY Privilege Escalation Exploit,"A vulnerability in Kernel Streaming (ks.sys driver) allows arbitrary IOCTL_KS_PROPERTY operations. A double fetch vulnerability in KspPropertyHandler, can be used to gain system privileges.","November 8, 2024",CVE-2024-35250,Windows,Exploits / Local,Impact
NextGen Healthcare Mirth Connect Deserialization Remote Code Execution Exploit,"CVE-2023-43208 stems from an insecure data deserialization process in Mirth Connect's use of the XStream library, which improperly processes untrusted XML payloads.This deserialization flaw enables us to exploit the system by sending crafted XML requests to execute code remotely on the server.","November 1, 2024",CVE-2023-43208,"Windows, Linux",Exploits / Remote Code Execution,Impact
RouterOS 6x Denial of Service,Remote Denial RouterOS 6x,"October 31, 2024",CVE-2024-27686,Windows,Denial of Service / Remote,IOT
Tenda A18 stack overflow vulnerability (DoS),Remote Denial Of Service in Tenda A18 Router,"October 31, 2024",,Windows,Denial of Service / Remote,IOT
Linksys WAG54G v2 Wireless ADSL Router - HTTPd Denial of Service,Remote Denial Linksys WAG54G,"October 31, 2024",,Linux,Denial of Service / Remote,IOT
Opto22 PAC Project Professional Remote File Create / Overwrite Exploit,This module will receive HTTP requests from vulnerable clients and install agents on them.,"October 31, 2024",,,Exploits / Client Side,SCADA
PROMOTIC SCADA v8.0.13 Remote Code Execution Vulnerability,This module will receive HTTP requests from vulnerable clients and install agents on them.,"October 31, 2024",,,Exploits / Client Side,SCADA
Arcserve Unified Data Protection wizardLogin Authentication Bypass Vulnerability Remote Code Execution Exploit,A chain of vulnerabilities in Arcserve Unified Data Protection allows unauthenticated remote attackers to execute system commands.,"October 30, 2024","CVE-2024-0799,CVE-2024-0800",Windows,Exploits / Authentication Weakness / Known Vulnerabilities,Impact
Microsoft Windows Telephony Server Use After Free Local Privilege Escalation Exploit,Use-after-free vulnerability in the telephony service can lead to a Local Privilege Escalation in TapiSrv.,"October 24, 2024",CVE-2024-26230,Windows,Exploits / Local,Impact
Microsoft Kernel Streaming WOW Thunk Service Driver Elevation of Privilege Vulnerability Exploit,An elevation of privilege vulnerability exists due to the MS KS WOW Thunk kernel module allow accessing memory out of bounds. The vulnerability could allow an attacker to run code with elevated privileges.,"October 17, 2024",CVE-2024-38054,Windows,Exploits / Local,Impact
Linux OpenPrinting cups-browsed Remote Code Execution Exploit,"A chain of vulnerabilities in cups-browsed, libcupsfilters, libppd and cups-filters allows unauthenticated remote attackers to execute system commands.","October 11, 2024","CVE-2024-47076,CVE-2024-47175,CVE-2024-47177,CVE-2024-47176",Linux,Exploits / Remote Code Execution,Impact
GeoServer Unauthenticated Remote Code Execution Exploit,"In GeoServer prior to versions 2.23.6, 2.24.4, and 2.25.2, multiple OGC request parameters allow Remote Code Execution (RCE) by unauthenticated users through specially crafted input against a default GeoServer installation due to unsafely evaluating property names as XPath expressions. The GeoTools library API that GeoServer calls evaluates property/attribute names for feature types in a way that unsafely passes them to the commons-jxpath library which can execute arbitrary code when evaluating XPath expressions.","October 8, 2024",CVE-2024-36401,"Windows, Linux",Exploits / Remote Code Execution,Impact
Windows System Drive Remapping Local Privilege Escalation Exploit Update,"This update adds support for domain users, improved user group validation, agent stability, and improved module output messages.","October 8, 2024",CVE-2024-6769,Windows,Exploits / Local,Impact
D-Link DIR-619L Router Remote Denial of Service Vulnerability,Remote Denial Of Service in D-Link DIR-619L Router,"September 30, 2024",CVE-2024-9570,Windows,Denial of Service / Remote,IOT
ABB Cylon Aspect Unauthenticated Log Disclosure,ASPECT is an award-winning scalable building energy management and control solution designed to allow users seamless access to their building data through standard building protocols including smart devices.,"September 30, 2024",,Windows,Exploits / Remote,SCADA
IRAI AUTOMGEN Web Server Remote Denial of Service,Remote Denial IRAI AUTOMGEN,"September 30, 2024",,Windows,Denial of Service / Remote,SCADA
D-Link DWL Series Access-Point 2.10na Config Disclosure,DWL-2100ap Remote Configuration Disclosure,"September 30, 2024",,,Exploits / Client Side,IOT
Microsoft Smart App and Mark of the Web bypass tool using LNK stomping,This exploit uses a technique called LNK stomping that allows specially crafted LNK files with non-standard target paths or internal structures to cause the file to be opened while bypassing Smart App Control and the Mark of the Web security warnings.,"September 27, 2024",CVE-2024-38217,Windows,Exploits / Tools,Impact
Veeam Backup and Replication Blacklist ObjRef NET Deserialization Vulnerability Remote Code Execution Exploit,Veeam Backup and Replication deserialization of System.Runtime.Remoting.ObjRef .NET class type allows unauthenticated remote attackers to execute system commands in the context of the NT AUTHORITY\SYSTEM user.,"September 24, 2024",CVE-2024-40711,Windows,Exploits / Remote Code Execution,Impact
Microsoft Outlook Moniker Image Tag Information Disclosure Exploit (CVE-2024-38021),"This exploit leverages an information disclosure vulnerability in Microsoft Outlook. By using an image tag, unauthorized access can be obtained, allowing for the theft of NTLM hashes.","September 18, 2024","CVE-2024-21413,CVE-2024-38021",Windows,Exploits / Client Side,Impact
Progress WhatsUp Gold GetFileWithoutZip Directory Traversal Vulnerability Remote Code Execution Exploit,A directory traversal Vulnerability in the WhatsUp.ExportUtilities.Export.GetFileWithoutZip method of Progress WhatsUp Gold allows unauthenticated remote attackers to write arbitrary files in the system leading to execute system commands in the context of the IIS APPPOOL\NmConsole user.,"September 10, 2024",CVE-2024-4885,Windows,Exploits / Remote Code Execution,Impact
GitLab Password Reset Account Takeover Exploit,"This module exploits an issue in GitLab CE/EE that allows sending reset emails to an unverified email address. In order to takeover the account, the module will exploit the vulnerability adding the attacker's email to the JSON from /users/password endpoint, then it will connect via IMAP to the attacker's email, parse the reset email and change the password. All versions from 16.1 prior to 16.1.6, 16.2 prior to 16.2.9, 16.3 prior to 16.3.7, 16.4 prior to 16.4.5, 16.5 prior to 16.5.6, 16.6 prior to 16.6.4, and 16.7 prior to 16.7.2 are affected.","September 3, 2024",CVE-2023-7028,Linux,Exploits / Remote,Impact
Laquis Scada 4.1 Directory Traversal,Laquis Scada 4.1 Directory Traversal,"August 30, 2024",,Windows,Exploits / Remote File Disclosure,SCADA
Ivanti Connect Secure SAML SSRF Unauthenticated Remote Code Execution Exploit Update,"This module chains together three vulnerabilities to deploy a Core Impact agent with root privileges.  First vulnerability CVE-2023-46805 is used to obtain the exact version of Ivanti Connect Secure installed on the system.  Next, the module exploits a second vulnerability CVE-2024-21893 that allows the attacker to access certain restricted resources without authentication, leveraging a flaw in the SAML component.","August 30, 2024","CVE-2024-21887,CVE-2024-21893,CVE-2023-46805",Linux,Exploits / Remote Code Execution,Impact
LEADTOOLS IltmmCapture 17.5 Arbitrary File Overwrite Vulnerability,This module will receive HTTP requests from vulnerable clients and install agents on them.,"August 30, 2024",,,Exploits / Client Side,SCADA
Ivanti Connect Secure SAML SSRF Unauthenticated Remote Code Execution Exploit,"A server-side request forgery (SSRF) vulnerability has been identified in the SAML component of Ivanti Connect Secure (versions 9.x and 22.x), Ivanti Policy Secure (versions 9.x and 22.x), and Ivanti Neurons for ZTA. This vulnerability, designated CVE-2024-21893, allows an attacker to access restricted resources without authentication.","August 23, 2024","CVE-2024-21887,CVE-2024-21893,CVE-2023-46805",Linux,Exploits / Remote Code Execution,Impact
Magento eCommerce Web Sites CosmicSting and CNEXT Remote Code Execution Exploit Update,An XML External Entity Reference and a heap buffer overflow in the iconv() function of the GNU C Library allows unauthenticated remote attackers to execute system commands in Magento eCommerce Web Sites.    This update adds module documentation and fixes some errors.,"August 16, 2024","CVE-2024-2961,CVE-2024-34102",Linux,Exploits / Remote Code Execution,Impact
Magento eCommerce Web Sites CosmicSting and CNEXT Remote Code Execution Exploit,An XML External Entity Reference and a heap buffer overflow in the iconv() function of the GNU C Library allows unauthenticated remote attackers to execute system commands in Magento eCommerce Web Sites.,"August 15, 2024","CVE-2024-2961,CVE-2024-34102",Linux,Exploits / Remote Code Execution,Impact
Microsoft Windows Kernel AuthzBasepCopyoutInternalSecurityAttributes Elevation of Privilege Vulnerability Exploit,"The Windows NT operating system kernel executable (ntoskrnl.exe) present in Microsoft Windows is vulnerable to a race condition, which can result in arbitrary memory write. This module allows a local unprivileged user to execute arbitrary code with SYSTEM privileges.","August 14, 2024",CVE-2024-30088,Windows,Exploits / Local,Impact
Microsoft Windows DWMCORE Elevation of Privilege Vulnerability,The vulnerability exists due to a boundary error within the Windows DWMCORE library. A local user can trigger a heap-based buffer overflow and execute arbitrary code with the DWM user with Integrity System privileges.,"August 9, 2024",CVE-2024-30051,Windows,Exploits / Local,Impact
LOYTEC electronics Config Download,LOYTEC electronics Remote Configuration Disclosure,"July 30, 2024",CVE-2023-46389,,Exploits / Client Side,SCADA
Loytec LGATE-902 Path Traversal Vulnerability,This module exploits a directory traversal vulnerability in Loytec LGATE-902,"July 30, 2024",,Windows,Exploits / Remote,SCADA
Ivanti Core Server EPM Remote Code Execution Exploit,An SQL Injection vulnerability in Core server of Ivanti EPM 2022 SU5 and prior allows an unauthenticated attacker within the same network to execute arbitrary code.,"July 30, 2024",CVE-2024-29824,Windows,Exploits / Remote Code Execution,Impact
Loytec L-Studio 3.0 Arbitrary File Upload,Loytec L-Studio 3.0 Remote Code Execution,"July 30, 2024",,Windows,Exploits / Remote Code Execution,SCADA
Microsoft Exchange Proxylogon Remote Code Execution Vulnerability Exploit Update,"A combination of a server-side request forgery vulnerability and an arbitrary file write vulnerability, allows unauthenticated attackers to execute commands with SYSTEM privileges in Microsoft Exchange Server.This update adds several parameters for module flexibility; more log verbosity on errors and fixes a bug when using autodiscover to retrieve email SID.","July 25, 2024",CVE-2021-26855,Windows,Exploits / Remote Code Execution,Impact
FileCatalyst Workflow JOBID SQL Injection Vulnerability Exploit,"A SQL injection vulnerability in Fortra FileCatalyst Workflow versions 5.1.6 build 135 and earlier allows remote attackers, including anonymous ones, to exploit a SQL injection via the JOBID parameter.This could lead to unauthorized SQL commands execution such as table deletion or admin user creation. This module without authentication creates an administrative user, proceeds to authenticate with this newly created user to assess if the system is vulnerable.","July 19, 2024",CVE-2024-5276,Linux,Exploits / Remote,Impact
Microsoft Streaming Service Elevation of Privilege Vulnerability Exploit (CVE-2023-36802) Update,This update adds reliability improvements to check if the target is vulnerable.,"July 14, 2024",CVE-2023-36802,Windows,Exploits / Local,Impact
Progress Telerik Report Server XmlSerializer NET Deserialization Vulnerability Remote Code Execution Exploit,An Authentication bypass and a .NET deserialization vulnerability allows unauthenticated remote attackers to execute system commands in Progress Telerik Report Server.,"July 11, 2024",CVE-2024-1800,Windows,Exploits / Authentication Weakness / Known Vulnerabilities,Impact
SolarWinds Serv-U FTP Server Path Traversal Vulnerability Exploit,"An unauthenticated remote attacker could exploit this vulnerability by sending a specially crafted request to a vulnerable server. Successful exploitation would allow an attacker to read files from the underlying operating system, which may include sensitive information such as user data (which may include encrypted passwords)","July 2, 2024",CVE-2024-28995,"Windows, Linux",Exploits / Remote File Disclosure,Impact
Aquatronica Control System Information Disclosure,Aquatronica Control System Remote Configuration Disclosure,"June 30, 2024",,,Exploits / Client Side,SCADA
Schlumberger Olga dynamic multiphase flow simulator Info Disclosure,Schlumberger Olga dynamic multiphase flow simulator Info Disclosure,"June 30, 2024",,,Exploits / Client Side,SCADA
